rank,wave,class,sourceKey,commercial tier,tier why,country deficiency,priority,country,destination,category,required subject,required composition,widest display px,action,acquisition route,cost band,canonical asset id,current reference,replacement filename,pages,hero on,first page,why,current provider,current photographer,current source
306,"W4 licence, commercially live",REPLACE,pexels:16563167,3,priced route — West,58%,P3,senegal,the petite c te,beaches,"the long Atlantic beach at Cap Skirring, Senegal",16/9 and 4/3,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000833,https://images.pexels.com/photos/16563167/pexels-photo-16563167.jpeg,senegal/beaches/the-long-atlantic-beach-at-cap-skirring-senegal.avif,4,/places/senegal/the-petite-c-te.html,/senegal.html,"the provider calls it ""ocean crashing on rocks at the coast""",pexels,K,https://www.pexels.com/photo/ocean-crashing-on-rocks-at-the-coast-16563167/
307,"W4 licence, commercially live",REPLACE,pexels:12179672,3,priced route — West,58%,P3,senegal,dakar,cities,"the Dakar coastline seen from the Corniche, Senegal",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000834,https://images.pexels.com/photos/12179672/pexels-photo-12179672.jpeg,senegal/cities/the-dakar-coastline-seen-from-the-corniche-senegal.avif,2,/places/senegal/dakar.html,/places/senegal/dakar.html,"the provider calls it ""businessmen talking to each other""",pexels,Libasse El Arbi Ndoye,https://www.pexels.com/photo/businessmen-talking-to-each-other-12179672/
308,"W4 licence, commercially live",REPLACE,pexels:4544171,3,priced route — West,58%,P3,senegal,teranga,culture,a family gathering for tea in a Senegalese courtyard,16/9,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000835,https://images.pexels.com/photos/4544171/pexels-photo-4544171.jpeg,senegal/culture/a-family-gathering-for-tea-in-a-senegalese-courtyard.avif,4,/places/senegal/teranga.html,/senegal.html,"the provider calls it ""faceless farmers in straw hats picking tea leaves on""",pexels,Quang Nguyen Vinh,https://www.pexels.com/photo/faceless-farmers-in-straw-hats-picking-tea-leaves-on-plantation-4544171/
309,"W4 licence, commercially live",REPLACE,pexels:37904491,3,priced route — West,58%,P3,senegal,community campements,eco-tourism,"a village-run campement in Casamance, Senegal",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000836,https://images.pexels.com/photos/37904491/pexels-photo-37904491.jpeg,senegal/eco-tourism/a-village-run-campement-in-casamance-senegal.avif,2,/places/senegal/community-campements.html,/places/senegal/community-campements.html,relevance 2.7,pexels,Lom Doudou,https://www.pexels.com/photo/colorful-fishing-boats-by-coastal-village-waters-37904491/
310,"W4 licence, commercially live",REPLACE,pexels:36598101,3,priced route — West,58%,P3,senegal,dakart and the magal,festivals,A lively night celebration in Senegal with a man holding a firework as people cheer around him.,16/9 and 3/2 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000837,https://images.pexels.com/photos/36598101/pexels-photo-36598101.jpeg,senegal/festivals/a-lively-night-celebration-in-senegal-with-a-man-holding-a-firework-as.avif,3,/places/senegal/dakart-and-the-magal.html,/places/senegal/dakart-and-the-magal.html,relevance 3.5,pexels,Felipe Esono Nguema,https://www.pexels.com/photo/vibrant-senegalese-celebration-with-fireworks-display-36598101/
311,"W4 licence, commercially live",REPLACE,pexels:19141534,3,priced route — West,58%,P3,senegal,thieboudienne,food,"thieboudienne served on a shared platter, Senegal",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000838,https://images.pexels.com/photos/19141534/pexels-photo-19141534.jpeg,senegal/food/thieboudienne-served-on-a-shared-platter-senegal.avif,2,/places/senegal/thieboudienne.html,/places/senegal/thieboudienne.html,"the provider calls it ""person eating fish soup""",pexels,Thu Huynh,https://www.pexels.com/photo/person-eating-fish-soup-19141534/
312,"W4 licence, commercially live",REPLACE,pexels:18482508,3,priced route — West,58%,P3,senegal,saint louis,heritage,"the colonial waterfront of Saint-Louis at dusk, Senegal",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000839,https://images.pexels.com/photos/18482508/pexels-photo-18482508.jpeg,senegal/heritage/the-colonial-waterfront-of-saint-louis-at-dusk-senegal.avif,3,/places/senegal/saint-louis.html,/places/senegal/saint-louis.html,"relevance 2.5; the provider calls it ""facade of sofitel legend casco viejo in panama city """,pexels,Luis Quintero,https://www.pexels.com/photo/facade-of-sofitel-legend-casco-viejo-in-panama-city-panama-18482508/
313,"W4 licence, commercially live",REPLACE,pexels:26673387,3,priced route — West,58%,P3,senegal,delta lodges,luxury,"a lodge deck over the water in the Saloum delta, Senegal",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000840,https://images.pexels.com/photos/26673387/pexels-photo-26673387.jpeg,senegal/luxury/a-lodge-deck-over-the-water-in-the-saloum-delta-senegal.avif,2,/places/senegal/delta-lodges.html,/places/senegal/delta-lodges.html,"relevance 2.5; the provider calls it ""rocks on a beach""",pexels,Ferdous  Hasan,https://www.pexels.com/photo/rocks-on-a-beach-26673387/
314,"W4 licence, commercially live",REPLACE,pexels:14021573,3,priced route — West,58%,P3,senegal,delta and dune,nature,"Two women in traditional clothes fishing in a serene mangrove forest with bamboo traps., Senegal",16/9 and 21/9 and 4/3,2100,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000841,https://images.pexels.com/photos/14021573/pexels-photo-14021573.jpeg,senegal/nature/two-women-in-traditional-clothes-fishing-in-a-serene-mangrove-forest-w.avif,4,/places/senegal/delta-and-dune.html,/senegal.html,relevance 3.0,pexels,Quang Nguyen Vinh,https://www.pexels.com/photo/standing-women-in-the-water-holding-traps-for-fishes-14021573/
315,"W4 licence, commercially live",REPLACE,pexels:18696593,3,priced route — West,58%,P3,senegal,surf and sail,outdoor,"Kitesurfers skillfully riding waves under a clear blue sky with colorful kites., Senegal",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000842,https://images.pexels.com/photos/18696593/pexels-photo-18696593.jpeg,senegal/outdoor/kitesurfers-skillfully-riding-waves-under-a-clear-blue-sky-with-colorf.avif,2,/places/senegal/surf-and-sail.html,/places/senegal/surf-and-sail.html,relevance 2.5,pexels,Serg Alesenko,https://www.pexels.com/photo/kites-over-kitesurfers-on-sea-shore-18696593/
316,"W4 licence, commercially live",REPLACE,pexels:16444276,3,priced route — West,58%,P3,senegal,niokolo koba,safari,"a game track through Niokolo-Koba woodland, Senegal",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000843,https://images.pexels.com/photos/16444276/pexels-photo-16444276.jpeg,senegal/safari/a-game-track-through-niokolo-koba-woodland-senegal.avif,2,/places/senegal/niokolo-koba.html,/places/senegal/niokolo-koba.html,relevance 2.2,pexels,Keegan Checks,https://www.pexels.com/photo/a-road-on-safari-seen-from-a-safari-vehicle-16444276/
317,"W4 licence, commercially live",REPLACE,pexels:15944472,3,priced route — West,58%,P3,senegal,wolof serer and diola,traditional-people,"Portrait of an elderly man in traditional clothing playing a musical instrument, showcasing cultural heritage., Senegal",16/9 and 4/5 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000844,https://images.pexels.com/photos/15944472/pexels-photo-15944472.jpeg,senegal/traditional-people/portrait-of-an-elderly-man-in-traditional-clothing-playing-a-musical-i.avif,3,/places/senegal/wolof-serer-and-diola.html,/places/senegal/wolof-serer-and-diola.html,relevance 3.7,pexels,Jonathan Shembere,https://www.pexels.com/photo/man-in-traditional-clothing-playing-an-instrument-15944472/
318,"W4 licence, commercially live",REPLACE,pexels:6216083,3,priced route — West,58%,P3,senegal,djoudj,wildlife,"pelicans massed on the water at Djoudj, Senegal",16/9,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000845,https://images.pexels.com/photos/6216083/pexels-photo-6216083.jpeg,senegal/wildlife/pelicans-massed-on-the-water-at-djoudj-senegal.avif,4,/places/senegal/djoudj.html,/senegal.html,relevance 2.5,pexels,Andrei Prodan,https://www.pexels.com/photo/white-pelicans-swimming-on-the-lake-6216083/
319,"W4 licence, commercially live",REPLACE,pexels:32799486,3,priced route — West,48%,P3,guinea-bissau,island hopping by pirogue,adventure,"a motorised pirogue crossing between Bijagos islands, Guinea-Bissau",16/9,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000846,https://images.pexels.com/photos/32799486/pexels-photo-32799486.jpeg,guinea-bissau/adventure/a-motorised-pirogue-crossing-between-bijagos-islands-guinea-bissau.avif,2,/places/guinea-bissau/island-hopping-by-pirogue.html,/places/guinea-bissau/island-hopping-by-pirogue.html,"relevance 3.0; the provider calls it ""aerial view of lychee farmer on bridge in bac giang""",pexels,Vietnam  Hidden Light,https://www.pexels.com/photo/aerial-view-of-lychee-farmer-on-bridge-in-bac-giang-32799486/
320,"W4 licence, commercially live",REPLACE,pexels:38783877,3,priced route — West,48%,P3,guinea-bissau,bissau,cities,"the faded Portuguese colonial buildings of Bissau Velho, Guinea-Bissau",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000847,https://images.pexels.com/photos/38783877/pexels-photo-38783877.jpeg,guinea-bissau/cities/the-faded-portuguese-colonial-buildings-of-bissau-velho-guinea-bissau.avif,2,/places/guinea-bissau/bissau.html,/places/guinea-bissau/bissau.html,relevance 3.7,pexels,Guillaume Kremer,https://www.pexels.com/photo/colorful-colonial-architecture-in-macao-38783877/
321,"W4 licence, commercially live",REPLACE,pexels:20091538,3,priced route — West,48%,P3,guinea-bissau,carving and cloth,crafts,"Dramatic close-up of a sand tiger shark swimming gracefully underwater, showcasing its sharp teeth., Guinea-Bissau",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000848,https://images.pexels.com/photos/20091538/pexels-photo-20091538.jpeg,guinea-bissau/crafts/dramatic-close-up-of-a-sand-tiger-shark-swimming-gracefully-underwater.avif,2,/places/guinea-bissau/carving-and-cloth.html,/places/guinea-bissau/carving-and-cloth.html,relevance 2.7,pexels,David Ramsamy,https://www.pexels.com/photo/shark-in-close-up-20091538/
322,"W4 licence, commercially live",REPLACE,pexels:38192541,3,priced route — West,48%,P3,guinea-bissau,matrilineal and still so,culture,"Vibrant traditional Hausa architecture in Bauchi, Nigeria at sunset., Guinea-Bissau",16/9,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000849,https://images.pexels.com/photos/38192541/pexels-photo-38192541.jpeg,guinea-bissau/culture/vibrant-traditional-hausa-architecture-in-bauchi-nigeria-at-sunset-gui.avif,4,/places/guinea-bissau/matrilineal-and-still-so.html,/guinea-bissau.html,relevance 2.0,pexels,Sani Maikatanga,https://www.pexels.com/photo/colorful-palace-facade-in-bauchi-nigeria-38192541/
323,"W4 licence, commercially live",REPLACE,pexels:7723173,3,priced route — West,48%,P3,guinea-bissau,community conservation,eco-tourism,"villagers recording a turtle nest on a Bijagos beach, Guinea-Bissau",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000850,https://images.pexels.com/photos/7723173/pexels-photo-7723173.jpeg,guinea-bissau/eco-tourism/villagers-recording-a-turtle-nest-on-a-bijagos-beach-guinea-bissau.avif,2,/places/guinea-bissau/community-conservation.html,/places/guinea-bissau/community-conservation.html,relevance 2.7,pexels,Mikhail Nilov,https://www.pexels.com/photo/a-turtle-in-the-water-7723173/
324,"W4 licence, commercially live",REPLACE,pexels:32656682,3,priced route — West,48%,P3,guinea-bissau,carnival in bissau,festivals,"masked dancers at the Bissau carnival, Guinea-Bissau",16/9 and 3/2 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000851,https://images.pexels.com/photos/32656682/pexels-photo-32656682.jpeg,guinea-bissau/festivals/masked-dancers-at-the-bissau-carnival-guinea-bissau.avif,3,/places/guinea-bissau/carnival-in-bissau.html,/places/guinea-bissau/carnival-in-bissau.html,relevance 3.5,pexels,Alex Fanaso,https://www.pexels.com/photo/traditional-sing-sing-dancers-in-papua-new-guinea-32656682/
325,"W4 licence, commercially live",REPLACE,pexels:36742864,3,priced route — West,48%,P3,guinea-bissau,sunday at the beach,local-life,"Vibrant street scene in Nigeria depicting a traditional horse festival with colorful attire and festive atmosphere., Guinea-Bissau",16/9 and 3/2 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000852,https://images.pexels.com/photos/36742864/pexels-photo-36742864.jpeg,guinea-bissau/local-life/vibrant-street-scene-in-nigeria-depicting-a-traditional-horse-festival.avif,3,/places/guinea-bissau/sunday-at-the-beach.html,/places/guinea-bissau/sunday-at-the-beach.html,relevance 2.2,pexels,that_photographer,https://www.pexels.com/photo/traditional-nigerian-horse-festival-with-colorful-attire-36742864/
326,"W4 licence, commercially live",REPLACE,pexels:36467560,3,priced route — West,48%,P3,guinea-bissau,two or three lodges,luxury,"a small thatched eco-lodge among palms on a Bijagos island, Guinea-Bissau",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000853,https://images.pexels.com/photos/36467560/pexels-photo-36467560.jpeg,guinea-bissau/luxury/a-small-thatched-eco-lodge-among-palms-on-a-bijagos-island-guinea-biss.avif,2,/places/guinea-bissau/two-or-three-lodges.html,/places/guinea-bissau/two-or-three-lodges.html,relevance 2.5,pexels,Ana Kenk,https://www.pexels.com/photo/traditional-thatched-hut-in-rural-zambia-36467560/
327,"W4 licence, commercially live",REPLACE,pexels:37391954,3,priced route — West,48%,P3,guinea-bissau,mangrove and tide,nature,"Explore the lush mangrove forests of Batticaloa Lagoon, Eastern Province, Sri Lanka., Guinea-Bissau",16/9 and 21/9 and 4/3,2100,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000854,https://images.pexels.com/photos/37391954/pexels-photo-37391954.jpeg,guinea-bissau/nature/explore-the-lush-mangrove-forests-of-batticaloa-lagoon-eastern-provinc.avif,4,/places/guinea-bissau/mangrove-and-tide.html,/guinea-bissau.html,relevance 2.5,pexels,Thilina Alagiyawanna,https://www.pexels.com/photo/lush-mangrove-forest-in-batticaloa-sri-lanka-37391954/
328,"W4 licence, commercially live",REPLACE,pexels:30004135,3,priced route — West,48%,P3,guinea-bissau,tide and palm,photography,"exposed mangrove roots and channels at low tide, Guinea-Bissau",16/9 and 21/9 and 4/3,2100,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000855,https://images.pexels.com/photos/30004135/pexels-photo-30004135.jpeg,guinea-bissau/photography/exposed-mangrove-roots-and-channels-at-low-tide-guinea-bissau.avif,3,/places/guinea-bissau/tide-and-palm.html,/places/guinea-bissau/tide-and-palm.html,relevance 3.9,pexels,Ihsan Adityawarman,https://www.pexels.com/photo/tanjong-sepat-mangrove-landscape-with-tree-stumps-30004135/
329,"W4 licence, commercially live",REPLACE,pexels:31837751,3,priced route — West,48%,P3,guinea-bissau,the bijagos,traditional-people,"Vibrant aerial view of Kano, Nigeria showcasing traditional architecture and urban landscape., Guinea-Bissau",16/9 and 4/5 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000856,https://images.pexels.com/photos/31837751/pexels-photo-31837751.jpeg,guinea-bissau/traditional-people/vibrant-aerial-view-of-kano-nigeria-showcasing-traditional-architectur.avif,3,/places/guinea-bissau/the-bijagos.html,/places/guinea-bissau/the-bijagos.html,relevance 2.2,pexels,Abduljalil Attahir,https://www.pexels.com/photo/aerial-view-of-kano-s-traditional-architecture-31837751/
330,"W4 licence, commercially live",REPLACE,pexels:36569191,3,priced route — West,48%,P3,guinea-bissau,none to speak of,waterfalls,"a tidal creek running through mangrove at Cacheu, Guinea-Bissau",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000857,https://images.pexels.com/photos/36569191/pexels-photo-36569191.jpeg,guinea-bissau/waterfalls/a-tidal-creek-running-through-mangrove-at-cacheu-guinea-bissau.avif,3,/places/guinea-bissau/none-to-speak-of.html,/places/guinea-bissau/none-to-speak-of.html,relevance 2.7,pexels,Vincent  Eshun,https://www.pexels.com/photo/dynamic-motion-of-a-man-running-on-water-in-takoradi-36569191/
331,"W4 licence, commercially live",REPLACE,pexels:11044710,3,priced route — West,42%,P3,gambia,upriver by boat,adventure,"a small river boat moving upstream past mangrove, The Gambia",16/9,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000858,https://images.pexels.com/photos/11044710/pexels-photo-11044710.jpeg,gambia/adventure/a-small-river-boat-moving-upstream-past-mangrove-the-gambia.avif,2,/places/gambia/upriver-by-boat.html,/places/gambia/upriver-by-boat.html,"the provider calls it ""photo of men on a white rowboat""",pexels,Mustafa ezz,https://www.pexels.com/photo/photo-of-men-on-a-white-rowboat-11044710/
332,"W4 licence, commercially live",REPLACE,pexels:37672853,3,priced route — West,42%,P3,gambia,colonial and compound,architecture,"a walled family compound with a swept yard and mango tree, The Gambia",16/9 and 3/2 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000859,https://images.pexels.com/photos/37672853/pexels-photo-37672853.jpeg,gambia/architecture/a-walled-family-compound-with-a-swept-yard-and-mango-tree-the-gambia.avif,3,/places/gambia/colonial-and-compound.html,/places/gambia/colonial-and-compound.html,relevance 2.9,pexels,LekePOV,https://www.pexels.com/photo/solitary-tree-in-sunlit-courtyard-scene-37672853/
333,"W4 licence, commercially live",REPLACE,pexels:8967206,3,priced route — West,42%,P3,gambia,batik carving and baskets,crafts,"Close-up of an artisan handcrafting a traditional batik design on fabric, highlighting cultural craftsmanship., The Gambia",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000860,https://images.pexels.com/photos/8967206/pexels-photo-8967206.jpeg,gambia/crafts/close-up-of-an-artisan-handcrafting-a-traditional-batik-design-on-fabr.avif,2,/places/gambia/batik-carving-and-baskets.html,/places/gambia/batik-carving-and-baskets.html,"the provider calls it ""a person designing a shirt""",pexels,Rizky Rafael,https://www.pexels.com/photo/a-person-designing-a-shirt-8967206/
334,"W4 licence, commercially live",REPLACE,pexels:6192163,3,priced route — West,42%,P3,gambia,mandinka fula wolof jola,culture,"a kora player performing at a Gambian village gathering, The Gambia",16/9,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000861,https://images.pexels.com/photos/6192163/pexels-photo-6192163.jpeg,gambia/culture/a-kora-player-performing-at-a-gambian-village-gathering-the-gambia.avif,4,/places/gambia/mandinka-fula-wolof-jola.html,/gambia.html,"relevance 2.0; the provider calls it ""close up photo of man playing violin""",pexels,RDNE Stock project,https://www.pexels.com/photo/close-up-photo-of-man-playing-violin-6192163/
335,"W4 licence, commercially live",REPLACE,pexels:16563172,3,priced route — West,42%,P3,gambia,community birding,eco-tourism,"a local guide pointing out a bird to visitors on a creek, The Gambia",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000862,https://images.pexels.com/photos/16563172/pexels-photo-16563172.jpeg,gambia/eco-tourism/a-local-guide-pointing-out-a-bird-to-visitors-on-a-creek-the-gambia.avif,2,/places/gambia/community-birding.html,/places/gambia/community-birding.html,"relevance 2.7; the provider calls it ""meat hanging by butcher store in village""",pexels,K,https://www.pexels.com/photo/meat-hanging-by-butcher-store-in-village-16563172/
336,"W4 licence, commercially live",REPLACE,pexels:29266328,3,priced route — West,42%,P3,gambia,kartong,hidden-gems,"the quiet river mouth and empty beach at Kartong, The Gambia",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000863,https://images.pexels.com/photos/29266328/pexels-photo-29266328.jpeg,gambia/hidden-gems/the-quiet-river-mouth-and-empty-beach-at-kartong-the-gambia.avif,2,/places/gambia/kartong.html,/places/gambia/kartong.html,"the provider calls it ""local fishermen preparing canoe in cabinda angola""",pexels,Cardoso Lopes Lopes,https://www.pexels.com/photo/local-fishermen-preparing-canoe-in-cabinda-angola-29266328/
337,"W4 licence, commercially live",REPLACE,pexels:34635381,3,priced route — West,42%,P3,gambia,the fish landing at tanji,local-life,"Colorful street market scene with a vendor selling lemons beside a motorcycle outdoors in daylight., The Gambia",16/9 and 3/2 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000864,https://images.pexels.com/photos/34635381/pexels-photo-34635381.jpeg,gambia/local-life/colorful-street-market-scene-with-a-vendor-selling-lemons-beside-a-mot.avif,3,/places/gambia/the-fish-landing-at-tanji.html,/places/gambia/the-fish-landing-at-tanji.html,relevance 3.7,pexels,BULE,https://www.pexels.com/photo/street-vendor-selling-lemons-near-motorbike-34635381/
338,"W4 licence, commercially live",REPLACE,pexels:34317142,3,priced route — West,42%,P3,gambia,flat,mountains,"flat savanna and a lone baobab in the upper river region, The Gambia",16/9 and 4/3,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000865,https://images.pexels.com/photos/34317142/pexels-photo-34317142.jpeg,gambia/mountains/flat-savanna-and-a-lone-baobab-in-the-upper-river-region-the-gambia.avif,4,/places/gambia/flat.html,/gambia.html,"the provider calls it ""solitary tree in cordoba s open fields""",pexels,Tomás Asurmendi,https://www.pexels.com/photo/solitary-tree-in-cordoba-s-open-fields-34317142/
339,"W4 licence, commercially live",REPLACE,pexels:16562852,3,priced route — West,42%,P3,gambia,river light,photography,"Banjul, The Gambia's scenic coastline under a cloudy sky.",16/9 and 21/9 and 4/3,2100,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000866,https://images.pexels.com/photos/16562852/pexels-photo-16562852.jpeg,gambia/photography/banjul-the-gambia-s-scenic-coastline-under-a-cloudy-sky.avif,3,/places/gambia/river-light.html,/places/gambia/river-light.html,"relevance 2.4; the provider calls it ""coastal city on island in birds eye view""",pexels,K,https://www.pexels.com/photo/coastal-city-on-island-in-birds-eye-view-16562852/
340,"W4 licence, commercially live",REPLACE,pexels:31604091,3,priced route — West,42%,P3,gambia,none,waterfalls,"still water and reflected trees on the upper Gambia river, The Gambia",16/9 and 4/3,1600,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000867,https://images.pexels.com/photos/31604091/pexels-photo-31604091.jpeg,gambia/waterfalls/still-water-and-reflected-trees-on-the-upper-gambia-river-the-gambia.avif,3,/places/gambia/none.html,/places/gambia/none.html,relevance 3.0,pexels,Adedoyin ADEROMOLA,https://www.pexels.com/photo/serene-aerial-view-of-a-nigerian-river-scene-31604091/
341,"W4 licence, commercially live",REPLACE,pexels:1344765,3,priced route — West,42%,P3,gambia,six hundred bird species,wildlife,"an Abyssinian roller on a branch in Gambian savanna, The Gambia",16/9,1800,licence a photograph that actually shows the subject,licence,C — a licence worth paying up for: this frame opens a page that carries a price.,AKL-000868,https://images.pexels.com/photos/1344765/pexels-photo-1344765.jpeg,gambia/wildlife/an-abyssinian-roller-on-a-branch-in-gambian-savanna-the-gambia.avif,4,/places/gambia/six-hundred-bird-species.html,/gambia.html,"relevance 2.0; the provider calls it ""selective focus photo of deer""",pexels,Francesco Ungaro,https://www.pexels.com/photo/selective-focus-photo-of-deer-1344765/
342,"W5 commission, remainder",SIGNATURE,unsplash:cf4WB9VlctM,4,no price attached,78%,P1,sierra-leone,,hero,"forested hills coming down to white sand at River No. 2 beach, Sierra Leone",4/3 and 16/9,2400,commission an original photograph from an African photographer,commission,D — a commissioned shoot. The most expensive route and the only one that produces something nobody else has.,AKL-000869,https://images.unsplash.com/photo-1582617327923-41cf918104bb,sierra-leone/hero/forested-hills-coming-down-to-white-sand-at-river-no-2-beach-sierra-le.avif,2,/tourism/sierra-leone.html,/tourism/index.html,"the provider calls it ""woman in blue dress walking on sidewalk during dayti""",unsplash,Random Institute,https://unsplash.com/photos/woman-in-blue-dress-walking-on-sidewalk-during-daytime-cf4WB9VlctM
343,"W5 commission, remainder",SIGNATURE,pexels:36856430,4,no price attached,77%,P1,comoros,,hero,"the vast summit crater of Mount Karthala on Grande Comore, Comoros",16/9 and 4/3,2400,commission an original photograph from an African photographer,commission,D — a commissioned shoot. The most expensive route and the only one that produces something nobody else has.,AKL-000870,https://images.pexels.com/photos/36856430/pexels-photo-36856430.jpeg,comoros/hero/the-vast-summit-crater-of-mount-karthala-on-grande-comore-comoros.avif,2,/tourism/comoros.html,/tourism/comoros.html,"relevance 3.0; the provider calls it ""aerial view of rusted shipwreck on liberian coast""",pexels,Muhammad Fullah,https://www.pexels.com/photo/aerial-view-of-rusted-shipwreck-on-liberian-coast-36856430/
344,"W5 commission, remainder",SIGNATURE,pexels:1238272,4,no price attached,72%,P1,congo,,hero,"a forest bai clearing surrounded by rainforest in Odzala, Congo",16/9 and 4/3,2400,commission an original photograph from an African photographer,commission,D — a commissioned shoot. The most expensive route and the only one that produces something nobody else has.,AKL-000871,https://images.pexels.com/photos/1238272/pexels-photo-1238272.jpeg,congo/hero/a-forest-bai-clearing-surrounded-by-rainforest-in-odzala-congo.avif,2,/tourism/congo.html,/tourism/congo.html,"relevance 2.5; the provider calls it ""close up photo of gorilla""",pexels,Francesco Ungaro,https://www.pexels.com/photo/close-up-photo-of-gorilla-1238272/
345,"W5 commission, remainder",SIGNATURE,pexels:9389010,4,no price attached,72%,P1,dr-congo,,hero,"the glowing lava lake in the crater of Nyiragongo at night, DR Congo",16/9 and 4/3,2400,commission an original photograph from an African photographer,commission,D — a commissioned shoot. The most expensive route and the only one that produces something nobody else has.,AKL-000872,https://images.pexels.com/photos/9389010/pexels-photo-9389010.jpeg,dr-congo/hero/the-glowing-lava-lake-in-the-crater-of-nyiragongo-at-night-dr-congo.avif,2,/tourism/dr-congo.html,/tourism/dr-congo.html,relevance 2.5,pexels,Koen Swiers,https://www.pexels.com/photo/molten-lava-cascading-down-the-volcano-side-9389010/
346,"W5 commission, remainder",SIGNATURE,pexels:18240881,4,no price attached,70%,P1,angola,,hero,"the wide curtain of the Kalandula falls in Malanje, Angola",16/9 and 4/3,2400,commission an original photograph from an African photographer,commission,D — a commissioned shoot. The most expensive route and the only one that produces something nobody else has.,AKL-000873,https://images.pexels.com/photos/18240881/pexels-photo-18240881.jpeg,angola/hero/the-wide-curtain-of-the-kalandula-falls-in-malanje-angola.avif,2,/tourism/angola.html,/tourism/angola.html,relevance 2.5,pexels,Baixi Liu,https://www.pexels.com/photo/train-window-with-curtain-18240881/
